,Type,Date,Amount,Unit
0,Vend,2016-01-14 09:33:12,36774,919.35
1,Vend,2016-02-14 09:33:12,12142,303.55
2,Vend,2016-03-14 09:33:12,85472,2136.8
3,Vend,2016-04-14 09:33:12,65129,1628.225
4,Vend,2016-05-14 09:33:12,38543,963.575
5,Vend,2016-06-14 09:33:12,79397,1984.925
6,Vend,2016-07-14 09:33:12,98775,2469.375
7,Vend,2016-08-14 09:33:12,44636,1115.9
8,Vend,2016-09-14 09:33:12,87080,2177.0
9,Vend,2016-10-14 09:33:12,44970,1124.25
10,Vend,2016-11-14 09:33:12,58894,1472.35
11,Vend,2016-12-14 09:33:12,41354,1033.85
12,Vend,2017-01-14 09:33:12,46129,1153.225
13,Vend,2017-02-14 09:33:12,83444,2086.1
14,Vend,2017-03-14 09:33:12,88445,2211.125
15,Vend,2017-04-14 09:33:12,51760,1294.0
16,Vend,2017-05-14 09:33:12,4971,124.275
17,Vend,2017-06-14 09:33:12,12580,314.5
18,Vend,2017-07-14 09:33:12,78433,1960.825
19,Vend,2017-08-14 09:33:12,15609,390.225
20,Vend,2017-09-14 09:33:12,8454,211.35
21,Vend,2017-10-14 09:33:12,90605,2265.125
22,Vend,2017-11-14 09:33:12,50570,1264.25
23,Vend,2017-12-14 09:33:12,56456,1411.4
24,Vend,2018-01-14 09:33:12,56690,1417.25
25,Vend,2018-02-14 09:33:12,57995,1449.875
26,Vend,2018-03-14 09:33:12,35303,882.575
27,Vend,2018-04-14 09:33:12,36137,903.425
28,Vend,2018-05-14 09:33:12,93437,2335.925
29,Vend,2018-06-14 09:33:12,85619,2140.475
30,Vend,2018-07-14 09:33:12,80890,2022.25
31,Vend,2018-08-14 09:33:12,26692,667.3
32,Vend,2018-09-14 09:33:12,8936,223.4
33,Vend,2018-10-14 09:33:12,79731,1993.275
34,Vend,2018-11-14 09:33:12,34000,850.0
35,Vend,2018-12-14 09:33:12,64019,1600.475
36,Vend,2019-01-14 09:33:12,49706,1242.65
37,Vend,2019-02-14 09:33:12,46591,1164.775
38,Vend,2019-03-14 09:33:12,61088,1527.2
39,Vend,2019-04-14 09:33:12,51504,1287.6
40,Vend,2019-05-14 09:33:12,81926,2048.15
41,Vend,2019-06-14 09:33:12,44789,1119.725
42,Vend,2019-07-14 09:33:12,95539,2388.475
43,Vend,2019-08-14 09:33:12,55804,1395.1
44,Vend,2019-09-14 09:33:12,18707,467.675
45,Vend,2019-10-14 09:33:12,11610,290.25
46,Vend,2019-11-14 09:33:12,76936,1923.4
47,Vend,2019-12-14 09:33:12,19846,496.15
48,Vend,2020-01-14 09:33:12,81034,2025.85
49,Vend,2020-02-14 09:33:12,55002,1375.05
50,Vend,2020-03-14 09:33:12,74503,1862.575
51,Vend,2020-04-14 09:33:12,77149,1928.725
52,Vend,2020-05-14 09:33:12,13928,348.2
53,Vend,2020-06-14 09:33:12,13948,348.7
54,Vend,2020-07-14 09:33:12,80084,2002.1
55,Vend,2020-08-14 09:33:12,38263,956.575
56,Vend,2020-09-14 09:33:12,46646,1166.15
57,Vend,2020-10-14 09:33:12,59007,1475.175
58,Vend,2020-11-14 09:33:12,52897,1322.425
59,Vend,2020-12-14 09:33:12,99962,2499.05
60,Vend,2021-01-14 09:33:12,85738,2143.45
61,Vend,2021-02-14 09:33:12,97641,2441.025
62,Vend,2021-03-14 09:33:12,98909,2472.725
63,Vend,2021-04-14 09:33:12,56566,1414.15
64,Vend,2021-05-14 09:33:12,30181,754.525
65,Vend,2021-06-14 09:33:12,19785,494.625
66,Vend,2021-07-14 09:33:12,11254,281.35
67,Vend,2021-08-14 09:33:12,63068,1576.7
68,Vend,2021-09-14 09:33:12,36069,901.725
69,Vend,2021-10-14 09:33:12,51266,1281.65
70,Vend,2021-11-14 09:33:12,61830,1545.75
71,Vend,2021-12-14 09:33:12,73343,1833.575
72,Vend,2022-01-14 09:33:12,13576,339.4
